Unnamed: 0,time(millisecond),datetime(utc),lat,lon,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,time,alt,Planename,uav_category,x,y,z,vel_x,vel_y,vel_z,track_id
1044,157667,29/09/2020 12:01,51.52303326,5.869143164,165.0984305,155.6496113,91.86352,263.6405934,0,19.2322035,2708.976465,15,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,240.9,4.0,2.6,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,263.6405934,165.0984305,6,P-GPS,,2020-09-29 14:01:00,80.35765287,Parrot,Fixed-Wing,2006.7690100050302,1196.552446437954,79.93030934518879,2.4595313760324292e-05,1.470350760529597e-05,0.07833336154038248,0
1060,160222,29/09/2020 12:01,51.52291229,5.868837322,166.0465932,156.597774,91.86352,264.5887562,0,18.99725769,2627.122787,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,240.7,2.9,3.3,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,264.5887562,166.0465932,6,P-GPS,,2020-09-29 14:01:00,80.64665288,Parrot,Fixed-Wing,1985.5469771040646,1183.0850781204786,80.22845112698144,-13.299146292240852,-8.439554413161101,0.18683559630658256,0
1070,161902,29/09/2020 12:01,51.52286956,5.868728812,166.9652284,157.5164092,91.86352,265.5073914,0,18.5022005,2598.123443,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,240.8,3.3,4.6,0,0,1024,1024,1024,1024,0,0,81,,,,,,,0,32,265.5073914,166.9652284,6,P-GPS,,2020-09-29 14:01:00,80.92665289,Parrot,Fixed-Wing,1978.0176092871757,1178.3280664907143,80.51166688874935,-4.718405845103542,-2.9810618932386976,0.17748195310018766,0
1086,164333,29/09/2020 12:01,51.52274619,5.868417286,170.4954123,160.2919999,92.6181132,269.0375752,0,18.99298513,2514.760579,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,-0.223694,239.8,0.3,5.2,0,0,1024,1024,1024,1024,0,0,80,,,,,,,0,32,269.0375752,170.4954123,6,P-GPS,,2020-09-29 14:01:00,82.00265292,Parrot,Fixed-Wing,1956.4012562109253,1164.593785241485,81.59684425265561,-13.546253707518458,-8.606819921760193,0.6800447715336975,0
1090,164937,29/09/2020 12:01,51.52274619,5.868417286,172.0275646,161.8241522,92.6181132,270.5697275,0,19.20582997,2514.760579,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,-0.223694,238.2,-1.1,1.9,0,0,1024,1024,1024,1024,0,0,80,,,,,,,0,32,270.5697275,172.0275646,6,P-GPS,,2020-09-29 14:01:00,82.46965294,Parrot,Fixed-Wing,1956.401399160441,1164.5938705571002,82.06384424300563,8.958173475702506e-05,5.3464475035846686e-05,0.2926534521514844,0
1097,165943,29/09/2020 12:01,51.52270525,5.868312397,171.7815016,160.6922624,93.50394,270.3236645,0,19.37603874,2486.79798,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.223694,242.7,-1.1,6.2,0,0,1024,1024,1024,1024,0,0,80,,,,,,,0,32,270.3236645,171.7815016,6,P-GPS,,2020-09-29 14:01:00,82.39465294,Parrot,Fixed-Wing,1949.123110908457,1160.0360867600389,81.99189902246985,-4.561062583963419,-2.8562123981424006,-0.04508569077231756,0
1113,168168,29/09/2020 12:01,51.52257696,5.867993325,170.459323,159.1732334,93.7007904,269.001486,0,19.06065257,2401.154932,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,242.4,2.2,4.2,0,0,1024,1024,1024,1024,0,0,80,,,,,,,0,32,269.001486,170.459323,6,P-GPS,,2020-09-29 14:01:00,81.99165292,Parrot,Fixed-Wing,1926.982607819482,1145.7540602989682,81.59819563086376,-13.874721188972064,-8.950073734302432,-0.24672089734073602,0
1119,169173,29/09/2020 12:01,51.5225361,5.86789335,171.0400317,160.4101101,93.0446224,269.5821947,0,18.34574891,2374.222517,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,242.0,0.1,4.8,0,0,1024,1024,1024,1024,0,0,80,,,,,,,0,32,269.5821947,171.0400317,6,P-GPS,,2020-09-29 14:01:00,82.16865293,Parrot,Fixed-Wing,1920.0454061082976,1141.205394112461,81.7780993749052,-4.347314927196558,-2.85049869309066,0.1127397277015859,0
1130,170581,29/09/2020 12:01,51.52249573,5.867792454,169.7867508,160.1738896,92.027562,268.3289138,0,19.01602562,2347.185114,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.565858,0.0,241.0,1.0,4.1,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,268.3289138,169.7867508,6,P-GPS,,2020-09-29 14:01:00,81.78665292,Parrot,Fixed-Wing,1913.0440796942423,1136.7111306772176,81.3990017816584,-4.387499758141191,-2.8164062877524736,-0.23756792646364155,0
1138,171782,29/09/2020 12:01,51.52245487,5.867689657,169.78347,161.1876692,91.0105016,268.3256329,0,18.15091144,2319.685114,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,241.6,0.9,4.3,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,268.3256329,169.78347,6,P-GPS,,2020-09-29 14:01:00,81.78565292,Parrot,Fixed-Wing,1905.910932589917,1132.1623783859518,81.40094237047185,-4.47010742595643,-2.850552652095717,0.0012161028419685545,0
